4,8,0.0330898761749,2,1.375,11
5,13,0.020544052124,2,1.46153846154,19
6,19,0.0458769798279,3,1.68421052632,32
7,26,0.0879108905792,3,1.84615384615,48
8,33,0.152001857758,3,1.9696969697,65
9,40,0.242025852203,3,2.05,82
10,52,0.395780086517,3,1.98076923077,103
11,60,0.577572822571,4,2.23333333333,134
12,73,0.851181983948,4,2.23287671233,163
13,86,1.21330785751,4,2.31395348837,199
14,92,1.54842996597,4,2.34782608696,216
15,106,2.09655308723,5,2.45283018868,260
16,120,2.76872205734,5,2.54166666667,305
17,133,3.55935883522,5,2.56390977444,341
18,151,4.67331290245,4,2.45033112583,370
19,167,5.72240996361,4,2.64670658683,442
20,182,7.28508210182,6,2.77472527473,505
21,202,8.86219191551,6,2.78217821782,562
22,209,10.6854410172,5,3.04306220096,636
23,224,12.3785040379,5,2.94196428571,659
24,246,15.3989770412,5,2.92682926829,720
25,277,18.9616920948,6,2.97472924188,824
26,302,23.2523291111,6,3.12582781457,944
27,308,25.279638052,6,3.17857142857,979
28,334,31.0136680603,6,3.14670658683,1051
29,340,34.2242178917,6,3.05,1037
30,385,41.6134359837,6,3.35584415584,1292
31,395,46.7858200073,6,3.36708860759,1330
32,406,53.7197380066,6,3.30295566502,1341
33,447,63.8555960655,6,3.36017897092,1502
34,481,72.0088992119,7,3.41787941788,1644
35,505,78.8045170307,6,3.55445544554,1795
36,506,88.417525053,6,3.27865612648,1659
37,554,106.40000701,6,3.43682310469,1904
38,576,117.756170988,7,3.55555555556,2048
39,619,136.291509867,6,3.58804523425,2221
40,644,150.900391102,6,3.61335403727,2327
41,630,155.989742994,7,3.47777777778,2191
42,688,182.89618516,7,3.57848837209,2462
43,718,196.465497017,7,3.74930362117,2692
44,743,224.989775181,7,3.81292059219,2833
45,794,247.126185179,7,3.90302267003,3099
46,820,283.055672169,8,3.7743902439,3095
47,858,300.162820816,7,3.75174825175,3219
48,889,340.397850037,8,3.87626546682,3446
49,919,365.907217026,7,3.96735582155,3646
50,953,394.200263977,7,3.71983210913,3545
51,997,436.952976942,7,3.99097291876,3979
52,1008,480.656442165,9,3.94146825397,3973
53,1051,511.63509798,8,4.00856327307,4213
54,1085,565.147984028,8,4.26175115207,4624
55,1096,598.913506031,8,4.02372262774,4410
56,1199,676.290927172,8,4.00500417014,4802
57,1182,715.94985199,7,4.08629441624,4830
58,1233,769.137888908,8,4.10867802109,5066
59,1270,850.329031944,8,4.27874015748,5434
60,1342,951.70947504,8,4.17362146051,5601
61,1389,1017.90448189,7,4.29589632829,5967
62,1433,1190.37614512,8,4.42358688067,6339
63,1469,1286.03014112,8,4.32607215793,6355
64,1482,1364.67490792,8,4.31578947368,6396
65,1553,1477.08276296,9,4.53316162267,7040
66,1506,1475.39493704,8,4.34661354582,6546
67,1644,1720.5961771,9,4.57846715328,7527
68,1663,1826.68561196,8,4.49849669272,7481
69,1706,1992.06967902,9,4.46776084408,7622
70,1759,2031.01612902,8,4.84252416146,8518
71,1726,2143.39901304,8,4.47972190035,7732
72,1859,2547.51656103,9,4.71974179666,8774
73,1902,2685.18253994,8,4.59779179811,8745
74,1948,2657.49161506,8,4.64014373717,9039
75,1980,2939.85485291,9,4.61464646465,9137
76,2029,3057.81830502,9,4.78462296698,9708
77,2087,3383.10393286,9,4.78629611883,9989
78,2111,3633.1282692,8,4.52865940313,9560
79,2204,3833.56560612,8,4.51769509982,9957
80,2249,3623.18064213,9,4.73632725656,10652
81,2304,3916.96417594,9,4.87803819444,11239
82,2325,3879.31856894,9,4.90623655914,11407
83,2361,4068.8082211,9,5.06226175349,11952
84,2418,4509.6567781,10,4.93920595533,11943
85,2512,4767.53182006,9,4.83200636943,12138
86,2549,5068.72812319,9,4.95802275402,12638
87,2599,5439.67385197,9,4.69911504425,12213
88,2561,5339.29686809,9,4.88559156579,12512
89,2727,6008.79226422,9,4.87862119545,13304
90,2760,6447.7040658,9,5.04057971014,13912
91,2805,6737.1291759,10,5.38538324421,15106
92,2957,7352.4448061,9,5.08589786946,15039
93,2951,7466.48057199,9,4.97458488648,14680
94,3065,7965.78747511,10,4.94388254486,15153
95,3092,8330.56675291,10,5.04624838292,15603
96,3085,8376.23876905,10,5.13841166937,15852
97,3181,9166.92596698,10,5.53096510531,17594
98,3248,9793.02844787,10,5.1875,16849
99,3303,10309.2608449,10,5.15864365728,17039
100,3389,11029.4109731,10,5.05989967542,17148
